ABC Australia,ABCAustralia.itv
Aljazeera,AlJazeeraChannel.itv
AlQuran Kareem,AlQuranAlKareemTV.itv
Animax,AnimaxAsia.itv
Aniplus,AniPlus.itv
Antara,AntaraTV.itv
ANTV,ANTV.itv
Arirang,ArirangTV.itv
Asian Food Network,AsianFoodNetwork.itv
ATV,ATV.itv
AXN,AXNIndonesia.itv
Bali TV,BaliTV.itv
beIN Sports 1,beINSports1Indonesia.itv
beIN Sports 3,beINSports3Indonesia.itv
Bioskop Indonesia,BioskopIndonesia.itv
Bloomberg,BloombergTVAsia.itv
Boomerang,BoomerangAsia.itv
BTV,BeritaSatu.itv
Cartoon Network,CartoonNetworkAsia.itv
CCTV4,CCTV4Asia.itv
Celestial Movie,CelestialMoviesIndonesia.itv
CGTN Documentary,CGTNDocumentary.itv
Chinese Drama,ChineseDrama.itv
Cinema World,CinemaWorld.itv
Citra Dangdut,CitraDangdut.itv
Citra Drama,CitraDrama.itv
CNBC Asia,CNBCAsia.itv
CNBC Indonesia,CNBCIndonesia.itv
CNN Indonesia,CNNIndonesia.itv
CNN International,CNNInternationalAsiaPacific.itv
Crime Investigation,CrimePlusInvestigationAsia.itv
CTI Asia,CTIAsia.itv
Da Vinci Learning,DaVinciAsia.itv
Daai TV,DAAITV.itv
Discovery Channel,DiscoveryChannelIndonesia.itv
Dreamworks,DreamWorksChannelAsia.itv
Dunia anak,DuniaAnak.itv
Dunia Lain,DuniaLain.itv
DW (English),DWEnglish.itv
Eat & Go,EatNGo.itv
EBC Asia,EBCAsia.itv
Euronews,EuronewsEnglish.itv
FashionTV,FashionTVAsia.itv
Fight Sport,FightSports.itv
Flik,Flik.itv
Formosa,Formosa.itv
France 24,France24English.itv
Galaxy,Galaxy.itv
Galaxy Premium,GalaxyPremium.itv
GTV,GTV.itv
HGTV,HGTVAsia.itv
History,HistoryAsia.itv
Hits,HITS.itv
HIts Movie,HITSMovies.itv
HITS Now,HITSNow.itv
Horee,Horee.itv
Horizon Sports,HorizonSports.itv
IDX,IDXChannel.itv
I-Konser,ikonser.itv
IMC,IMC.itv
IndiKids,IndiKids.itv
Indonesiana TV,IndonesianaTV.itv
Indosiar,Indosiar.itv
iNews,iNews.itv
Insert,nsert.itv
JakTV,JakTV.itv
JTV,JTV.itv
KBS World,KBSWorld.itv
Kix,KIX.itv
Kompas TV,KompasTV.itv
Kplus,KPlus.itv
Kungfu TV,KungfuTV.itv
Lifetime,LifetimeAsia.itv
Lingua,LinguaChannel.itv
Mentari TV,MentariTV.itv
Metro TV,MetroTV.itv
MNC,MNCTV.itv
MNC News,MNCNews.itv
MOJI,OChannel.itv
Moonbug Kids,MoonbugKids.itv
MQTV,MQTV.itv
MTATV,MTATV.itv
MTV Live,MTVLive.itv
Muhammadiyah TV,MuhammadiyahTV.itv
MUI TV,TVMUI.itv
Musik Indonesia,MusikIndonesia.itv
My Cinema,MyCinema.itv
My Cinema Asia,MyCinemaAsia.itv
My Family,MyFamily.itv
MyKidz,MyKidz.itv
Nat Geo,NationalGeographicIndonesia.itv
Nat Geo Wild,NationalGeographicWildIndonesia.itv
NBA,NBATV.itv
Net.,NET.itv
News Asia,CNA.itv
nhk world Japan,NHKWorldJapan.itv
Nick Junior,NickJrAsia.itv
Nickelodeon,NickelodeonAsia.itv
Nusantara TV,NusantaraTV.itv
Panda TV,PandaTV.itv
Paramount,ParamountNetworkIndonesia.itv
Prambors,PramborsTV.itv
Rajawali TV,RajawaliTV.itv
RCTI,RCTI.itv
Rock Action,RockExtreme.itv
Rock Entertainment,RockEntertainment.itv
Rodja TV,RodjaTV.itv
RRI NET,RRINET.itv
SCTV,SCTV.itv
SEA Today,SEAToday.itv
Seru!,SeruChannel.itv
SGEM,GEM.itv
Shenzen,Shenzen.hk
SONE,OneTVAsia.itv
SPOTV,SPOTV.itv
SPOTV2,SPOTV2.itv
Tawaf TV,TawafTV.itv
Tech Storm,TechStorm.itv
Thrill,Thrill.itv
TLC,TLCSoutheastAsia.itv
Trans7,Trans7.itv
TransTV,TransTV.itv
TRT World,TRTWorld.itv
TV One,tvOne.itv
TV5Monde,TV5MondeAsia.itv
TV9 NU,TV9Nusantara.itv
TVBS News,TVBSNews.itv
TVN,tvNAsia.itv
TVN Movies,tvNMoviesAsia.itv
TVRI,TVRINasional.itv
UChannel,UChannel.itv
UseePrime,UseePrime.itv
UseeSports,UseeSport.itv
UseeSports2,UseeSports2.itv
Warner,WarnerTVAsia.usitv
ZBioskop,ZeeBioskop.itv
Zhejiang,ZhejuangSatelliteTVInternational.itv
