ABC Australia,ABCAustralia.ipiv
Aljazeera,AlJazeeraChannel.ipiv
AlQuran Kareem,AlQuranAlKareemTV.ipiv
Antara,AntaraTV.ipiv
ANTV,ANTV.ipiv
Arirang,ArirangTV.ipiv
ATV,ATV.ipiv
AXN,AXNIndonesia.ipiv
Bali TV,BaliTV.ipiv
BTV,BeritaSatu.ipiv
CCTV4,CCTV4Asia.ipiv
CGTN Documentary,CGTNDocumentary.ipiv
Chinese Drama,ChineseDrama.ipiv
Citra Dangdut,CitraDangdut.ipiv
Citra Drama,CitraDrama.ipiv
Daai TV,DAAITV.ipiv
DW (English),DWEnglish.ipiv
Euronews,EuronewsEnglish.ipiv
FashionTV,FashionTVAsia.ipiv
Flik,Flik.ipiv
France 24,France24English.ipiv
GTV,GTV.ipiv
Horee,Horee.ipiv
Horizon Sports,HorizonSports.ipiv
IDX,IDXChannel.ipiv
IndiKids,IndiKids.ipiv
Indonesiana TV,IndonesianaTV.ipiv
Indosiar,Indosiar.ipiv
iNews,iNews.ipiv
JakTV,JakTV.ipiv
JTV,JTV.ipiv
KBS World,KBSWorld.ipiv
Kompas TV,KompasTV.ipiv
Kplus,KPlus.ipiv
Metro TV,MetroTV.ipiv
MNC,MNCTV.ipiv
MNC News,MNCNews.ipiv
MQTV,MQTV.ipiv
MTATV,MTATV.ipiv
Muhammadiyah TV,MuhammadiyahTV.ipiv
MUI TV,TVMUI.ipiv
My Family,MyFamily.ipiv
MyKidz,MyKidz.ipiv
Nat Geo,NationalGeographicIndonesia.ipiv
Net.,NET.ipiv
News Asia,CNA.ipiv
Nusantara TV,NusantaraTV.ipiv
Prambors,PramborsTV.ipiv
Rajawali TV,RajawaliTV.ipiv
RCTI,RCTI.ipiv
Rodja TV,RodjaTV.ipiv
RRI NET,RRINET.ipiv
SCTV,SCTV.ipiv
SEA Today,SEAToday.ipiv
Tawaf TV,TawafTV.ipiv
Thrill,Thrill.ipiv
Trans7,Trans7.ipiv
TransTV,TransTV.ipiv
TRT World,TRTWorld.ipiv
TV One,tvOne.ipiv
TV9 NU,TV9Nusantara.ipiv
TVRI,TVRINasional.ipiv
UChannel,UChannel.ipiv
UseePrime,UseePrime.ipiv
ZBioskop,ZeeBioskop.ipiv
