ELEVEN EXTRA 1,ELEVENEXTRA1.pt
ELEVEN EXTRA 2,ELEVENEXTRA2.pt
ELEVEN EXTRA 3,ELEVENEXTRA3.pt
ELEVEN EXTRA 4,ELEVENEXTRA4.pt
ELEVEN SPORTS 1,ELEVENSPORTS1.pt
ELEVEN SPORTS 2,ELEVENSPORTS2.pt
ELEVEN SPORTS 3,ELEVENSPORTS3.pt
ELEVEN SPORTS 4,ELEVENSPORTS4.pt
ELEVEN SPORTS 5,ELEVENSPORTS5.pt
ELEVEN SPORTS 6,ELEVENSPORTS6.pt
Eurosport 1 HD,Eurosport1.pt
Eurosport 2,Eurosport2.pt
Sport TV 6 HD,SportTV6.pt
Sport TV NBA,SportTVNBA.pt
SPORT TV+ HD,SportTVPlus.pt
SPORT TV1 HD,SportTV1.pt
SPORT TV2 HD,SportTV2.pt
SPORT TV3 HD,SportTV3.pt
SPORT TV4 HD,SportTV4.pt
SPORT TV5 HD,SportTV5.pt
